seed	N	M	eps	total	1st	2nd	3rd	4th
0	15	2	0.01	38	1,445,937	1,327,125	1,127,426	866,481
2	13	2	0.07	68	2,006,971	2,417,617	5,070,120	2,170,685
3	19	2	0.08	114	3,136,378	2,541,408	3,196,577	2,237,383
8	11	2	0.13	46	6,615,826	4,553,827	5,406,208	11,219,032
9	14	2	0.17	41	11,740,962	13,396,970	12,744,716	17,157,175
20	10	2	0.08	41	2,210,574	2,991,399	1,858,524	2,684,369
21	13	2	0.15	50	6,560,863	7,980,229	14,009,250	10,730,681
25	13	2	0.2	27	1,000,000,000	13,247,220	15,233,752	104,569,930
27	12	2	0.2	56	13,724,556	14,047,888	9,278,628	21,683,423
38	13	2	0.06	95	2,360,609	541,775	1,434,019	1,761,736
42	19	2	0.04	148	2,347,763	1,653,203	1,194,401	1,334,046
45	15	2	0.07	83	2,750,846	2,185,951	3,470,842	2,540,834
61	15	2	0.12	52	9,608,072	9,569,245	5,292,366	10,925,874
65	14	2	0.03	62	1,958,057	1,325,300	1,521,813	1,300,246
68	20	2	0.19	190	6,012,882	12,978,748	10,247,067	10,099,656
85	10	2	0.09	50	4,634,583	3,281,698	3,715,208	4,904,346
88	15	2	0.04	68	1,820,944	2,185,951	1,874,357	2,790,980
90	12	2	0.15	49	7,580,820	6,560,898	14,811,889	7,001,686
93	10	2	0.05	23	5,620,020	6,292,704	9,131,199	4,608,564
94	16	2	0.03	105	1,261,828	892,833	2,982,593	1,234,386
